@relation bank_market_1-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0

@attribute Class numeric
@attribute Attribute1 numeric
@attribute Attribute2 numeric
@attribute Attribute3 numeric
@attribute Attribute4 numeric
@attribute Attribute5 numeric
@attribute Attribute6 numeric
@attribute Attribute7 numeric
@attribute Attribute8 numeric
@attribute Attribute9 numeric
@attribute Attribute10 numeric
@attribute Attribute11 numeric
@attribute Attribute12 numeric
@attribute Attribute13 numeric
@attribute Attribute14 numeric
@attribute Attribute15 numeric
@attribute Attribute16 numeric
@attribute Attribute17 numeric
@attribute Attribute18 numeric
@attribute Attribute19 numeric
@attribute Attribute20 numeric
@attribute Outlier {no,yes}
@attribute ExtremeValue {no,yes}

@data
0,56,1,1,1,1,1,1,1,2,2,261,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,57,2,1,2,0,1,1,1,2,2,149,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,37,2,1,2,1,2,1,1,2,2,226,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,40,3,1,3,1,1,1,1,2,2,151,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,56,2,1,2,1,1,2,1,2,2,307,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,45,2,1,5,0,1,1,1,2,2,198,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,59,3,1,4,1,1,1,1,2,2,139,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,41,4,1,0,0,1,1,1,2,2,217,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,24,6,2,4,1,2,1,1,2,2,380,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,25,2,2,2,1,2,1,1,2,2,50,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,41,4,1,0,0,1,1,1,2,2,55,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,25,2,2,2,1,2,1,1,2,2,222,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,29,4,2,2,1,1,2,1,2,2,137,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,57,1,3,1,1,2,1,1,2,2,293,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,35,4,1,3,1,2,1,1,2,2,146,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,54,5,1,5,0,2,2,1,2,2,174,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
